"","축제명","축제시작일자","축제종료일자","주소","LON","LAT","gigan","bigo","mm","yy","day_week"
"376","제23회 단양온달문화축제",2019-10-18,2019-10-20,"충청북도",37.06295564,128.4929221,3,"50일미만",10,2019,"금"
"377","제37회 단양소백산철쭉제",2019-05-23,2019-05-26,"충청북도",36.9647819,128.4207808,4,"50일미만",5,2019,"목"
"378","제15회 차성문화제",2019-10-12,2019-10-13,"부산광역시",35.2448828,129.2183134,2,"50일미만",10,2019,"토"
"379","고싸움놀이축제",2019-03-30,2019-03-31,"광주광역시",35.069218,126.835969,2,"50일미만",3,2019,"토"
"380","굿모닝 양림",2018-10-13,2018-10-15,"광주광역시",35.1416231,126.9114941,3,"50일미만",10,2018,"토"
"382","제47회 신라문화제",2019-10-03,2019-10-09,"경상북도",35.86064257,129.2090768,7,"50일미만",10,2019,"목"
"383","2019 경주한우와 농축수산물 한마당축제",2019-10-04,2019-10-06,"경상북도",35.8599824,129.2119786,3,"50일미만",10,2019,"금"
"384","2018 수원독서문화축제",2018-09-06,2018-09-09,"경기도",37.283861,127.010433,4,"50일미만",9,2018,"목"
"385","2019 수원독서문화축제",2019-10-12,2019-10-12,"경기도",37.28753704,127.0135776,1,"1일",10,2019,"토"
"386","2019 수원연극축제",2019-05-24,2019-05-26,"경기도",37.2667769,126.9850191,3,"50일미만",5,2019,"금"
"387","제55회 수원화성문화제",2018-10-05,2018-10-07,"경기도",37.28098808,127.0152227,3,"50일미만",10,2018,"금"
"388","제56회 수원화성문화제",2019-10-03,2019-10-06,"경기도",37.28098808,127.0152227,4,"50일미만",10,2019,"목"
"389","2019 수원등불축제",2019-10-03,2019-10-06,"경기도",37.28754004,127.018085,4,"50일미만",10,2019,"목"
"390","2017 음식 문화축제",2017-09-22,2017-09-24,"경기도",37.28188202,127.014393,3,"50일미만",9,2017,"금"
"391","2018 음식 문화축제",2018-10-05,2018-10-07,"경기도",37.28188202,127.014393,3,"50일미만",10,2018,"금"
"392","2019 음식 문화축제",2019-10-03,2019-10-06,"경기도",37.28188202,127.014393,4,"50일미만",10,2019,"목"
"393","서리풀페스티벌",2018-09-08,2018-09-16,"서울특별시",37.483601,127.032662,9,"50일미만",9,2018,"토"
"394","삼척맹방유채꽃축제",2018-04-06,2018-04-15,"강원도",37.405447,129.205264,10,"50일미만",4,2018,"금"
"395","삼척황영조국제마라톤대회",2018-04-22,2018-04-22,"강원도",37.438232,129.160145,1,"1일",4,2018,"일"
"396","삼척장미축제",2018-05-18,2018-05-22,"강원도",37.433569,129.176647,5,"50일미만",5,2018,"금"
"397","삼척정월대보름축제",2018-02-21,2018-02-25,"강원도",37.438232,129.160145,5,"50일미만",2,2018,"수"
"398","삼척동해왕이사부독도축제",2018-09-21,2018-09-23,"강원도",37.438232,129.160145,3,"50일미만",9,2018,"금"
"399","삼척평생학습박람회",2018-10-27,2018-10-28,"강원도",37.438232,129.160145,2,"50일미만",10,2018,"토"
"400","삼척비치썸패스터벌",2018-07-27,2018-07-29,"강원도",37.467434,129.16943,3,"50일미만",7,2018,"금"
"401","2016 대가야체험축제",2016-04-07,2016-04-10,"경상북도",35.72107614,128.2601559,4,"50일미만",4,2016,"목"
"404","제11회 진안고원 수박축제",2019-07-27,2019-07-28,"전라북도",35.84147509,127.5747127,2,"50일미만",7,2019,"토"
"405","2019 진안홍삼축제",2019-10-09,2019-10-13,"전라북도",35.773251,127.4162556,5,"50일미만",10,2019,"수"
"407","이천도자기축제",2019-04-26,2019-05-12,"경기도",37.29309775,127.385686,17,"50일미만",4,2019,"금"
"408","햇사레장호원복숭아축제",2019-09-20,2019-09-22,"경기도",37.11809864,127.6121816,3,"50일미만",9,2019,"금"
"409","이천인삼축제",2019-11-01,2019-11-03,"경기도",37.27793778,127.4269268,3,"50일미만",11,2019,"금"
"410","설봉산별빛축제",2019-07-13,2019-08-24,"경기도",37.27792699,127.425921,43,"50일미만",7,2019,"토"
"411","체험문화축제",2019-05-25,2019-05-26,"경기도",37.27793778,127.4269268,2,"50일미만",5,2019,"토"
"412","이천백사산수유꽃축제",2019-03-29,2019-03-31,"경기도",37.34077593,127.4622972,3,"50일미만",3,2019,"금"
"419","아라마린페스티벌 in 김포",2019-08-03,2019-08-05,"경기도",37.59765509,126.7869691,3,"50일미만",8,2019,"토"
"420","DMZ 울트라트레일러닝",2019-09-01,2019-09-30,"경기도",37.6406387,126.539261,30,"50일미만",9,2019,"일"
"421","김포예술제",2019-12-07,2019-12-07,"경기도",37.61713765,126.718043,1,"1일",12,2019,"토"
"422","2019 김포 국제무선자동차대회 개최 계획",2019-10-10,2019-10-14,"경기도",37.68028573,126.6249423,5,"50일미만",10,2019,"목"
"423","김포 평화누리길 걷기행사",2019-04-01,2019-10-31,"경기도",37.74322967,126.5940602,214,"50일이상",4,2019,"월"
"424","Again 서포리！ 응답하라 덕적도！",2019-07-27,2019-08-03,"인천광역시",37.22319007,126.1139153,8,"50일미만",7,2019,"토"
"427","순창장류축제",2019-10-18,2019-10-20,"전라북도",35.36860021,127.1099773,3,"50일미만",10,2019,"금"
"428","제99주년 3·1만세의 날 거리축제",2018-03-01,2018-03-01,"서울특별시",37.571532,126.987288,1,"1일",3,2018,"목"
"429","단기4351년 개천절 대제전",2018-10-03,2018-10-03,"서울특별시",37.576312,126.965851,1,"1일",10,2018,"수"
"430","단기4351년 어천절 대제전",2018-03-15,2018-03-15,"서울특별시",37.576312,126.965851,1,"1일",3,2018,"목"
"431","D.FESTA 대학로 거리공연축제",2018-05-17,2018-05-20,"서울특별시",37.583488,127.004425,4,"50일미만",5,2018,"목"
"432","금난새와 함께하는 종로 음악회",2018-08-30,2018-08-30,"서울특별시",37.572525,126.975793,1,"1일",8,2018,"목"
"433","2018 종로한복축제",2018-10-05,2018-10-07,"서울특별시",37.572701,126.976924,3,"50일미만",10,2018,"금"
"434","세종마을 세종주간 축제",2018-10-03,2018-10-09,"서울특별시",37.580743,126.966012,7,"50일미만",10,2018,"수"
"435","세종탄신 620돌 축하연",2018-05-15,2018-05-15,"서울특별시",37.580568,126.968676,1,"1일",5,2018,"화"
"436","2019 제8회 서울동화축제",2019-05-04,2019-05-06,"서울특별시",37.549278,127.078677,3,"50일미만",5,2019,"토"
"437","2018 제2회 광진교 페스티벌",2018-08-18,2018-08-18,"서울특별시",37.544936,127.110741,1,"1일",8,2018,"토"
"438","2018 제8회 광나루 어울마당",2018-09-20,2018-09-21,"서울특별시",37.549278,127.078677,2,"50일미만",9,2018,"목"
"439","땅끝매화축제",2019-03-15,2019-03-16,"전라남도",34.6243948,126.463392,2,"50일미만",3,2019,"금"
"440","달마고도 걷기축제",2019-03-30,2019-03-30,"전라남도",34.3827629,126.5776828,1,"1일",3,2019,"토"
"441","흑석산 철쭉제",2019-04-19,2019-04-20,"전라남도",34.671543,126.6161037,2,"50일미만",4,2019,"금"
"442","연호보리축제",2019-04-27,2019-05-04,"전라남도",34.5986902,126.4914101,8,"50일미만",4,2019,"토"
"443","땅끝수국축제",2019-06-06,2019-07-14,"전라남도",34.45321139,126.5955014,39,"50일미만",6,2019,"목"
"444","송호해변여름축제",2019-07-27,2019-07-27,"전라남도",34.3156869,126.5190115,1,"1일",7,2019,"토"
"445","오시아노 樂 페스티벌",2019-08-02,2019-08-04,"전라남도",34.670829,126.260601,3,"50일미만",8,2019,"금"
"446","땅끝 해넘이·해맞이 축제",2019-12-31,2020-01-01,"전라남도",34.2982093,126.5293983,2,"50일미만",12,2019,"화"
"447","북평용줄다리기 축제",2019-10-27,2019-10-27,"전라남도",34.4036574,126.6280888,1,"1일",10,2019,"일"
"448","달성토성마을축제",2019-04-27,2019-04-27,"대구광역시",35.8758308,128.5747396,1,"1일",4,2019,"토"
"449","가족사랑 아이스축제",2019-07-27,2019-07-27,"대구광역시",35.873636,128.5454766,1,"1일",7,2019,"토"
"450","미소&행복 구민축제",2018-10-07,2018-10-07,"대구광역시",35.87279161,128.545577,1,"1일",10,2018,"일"
"451","달구벌목민관축제",2018-10-07,2018-10-07,"대구광역시",35.87232184,128.5592204,1,"1일",10,2018,"일"
"452","마토예술제",2019-05-25,2019-05-25,"경기도",36.960171,127.045036,1,"1일",5,2019,"토"
"453","마토예술제",2019-10-26,2019-10-26,"경기도",36.960171,127.045036,1,"1일",10,2019,"토"
"454","단종문화제",2018-04-27,2018-04-29,"강원도",37.186184,128.168447,3,"50일미만",4,2018,"금"
"455","동강국제사진제",2018-06-14,2018-07-21,"강원도",37.182233,128.461472,38,"50일미만",6,2018,"목"
"457","김삿갓문화제",2018-10-05,2018-10-07,"강원도",37.079689,128.60173,3,"50일미만",10,2018,"금"
"459","2019청도소싸움축제",2019-05-16,2019-05-19,"경상북도",35.68673395,128.7251463,4,"50일미만",5,2019,"목"
"461","2019청도반시축제",2019-10-11,2019-10-13,"경상북도",35.6504035,128.7193929,3,"50일미만",10,2019,"금"
"462","2019청도세계코미디아트페스티벌",2019-10-11,2019-10-13,"경상북도",35.6504035,128.7193929,3,"50일미만",10,2019,"금"
"463","하남이성문화축제",2018-09-28,2018-09-29,"경기도",37.54654783,127.2205032,2,"50일미만",9,2018,"금"
"464","고흥 우주항공 축제",2019-05-03,2019-05-05,"전라남도",34.45357943,127.5181513,3,"50일미만",5,2019,"금"
"465","영암왕인문화축제",2019-04-06,2019-04-09,"전라남도",34.755566,126.629933,4,"50일미만",4,2019,"토"
"466","기찬월출산국화축제",2019-10-29,2019-11-02,"전라남도",34.7919635,126.6850264,5,"50일미만",10,2019,"화"
"467","영암호해맞이축제",2019-01-01,2019-01-01,"전라남도",34.7333995,126.387386,1,"1일",1,2019,"화"
